Month,CCI
2012-07,59.0
2012-08,57.0
2012-09,59.0
2012-10,59.0
2012-11,60.0
2012-12,62.0
2013-01,67.0
2013-02,68.0
2013-03,64.0
2013-04,59.0
2013-05,60.0
2013-06,63.0
2013-07,65.0
2013-08,62.0
2013-09,59.0
2013-10,59.0
2013-11,67.0
2013-12,68.0
2014-01,69.0
2014-02,65.0
2014-03,66.0
2014-04,64.0
2014-05,63.0
2014-06,62.0
2014-07,64.0
2014-08,61.0
2014-09,62.0
2014-10,65.0
2014-11,75.0
2014-12,80.0
2015-01,84.0
2015-02,87.0
2015-03,85.0
2015-04,83.0
2015-05,79.0
2015-06,79.0
2015-07,78.0
2015-08,83.0
2015-09,87.0
2015-10,89.0
2015-11,84.0
2015-12,75.0
2016-01,70.0
2016-02,65.0
2016-03,68.0
2016-04,65.0
2016-05,66.0
2016-06,56.0
2016-07,52.0
2016-08,46.0
2016-09,54.0
2016-10,57.0
2016-11,64.0
2016-12,65.0
2017-01,65.0
2017-02,59.0
2017-03,54.0
2017-04,57.0
2017-05,61.0
2017-06,61.0
2017-07,61.0
2017-08,58.0
2017-09,52.0
2017-10,52.0
2017-11,53.0
2017-12,54.0
2018-01,58.0
2018-02,60.0
2018-03,58.0
2018-04,51.0
2018-05,51.0
2018-06,45.0
2018-07,46.0
2018-08,41.0
2018-09,50.0
2018-10,46.0
2018-11,54.0
2018-12,50.0
2019-01,53.0
2019-02,51.0
2019-03,49.0
2019-04,46.0
2019-05,37.0
2019-06,36.0
2019-07,33.0
2019-08,39.0
2019-09,41.0
2019-10,48.0
2019-11,53.0
2019-12,71.0
2020-01,80.0
2020-02,79.0
2020-03,67.0
2020-04,64.5
2020-05,62.0
2020-06,62.0
2020-07,68.0
2020-08,61.0
2020-09,61.0
2020-10,49.0
2020-11,48.0
2020-12,41.0
2021-01,42.0
2021-02,43.0
2021-03,44.0
2021-04,46.0
2021-05,40.0
2021-06,35.0
2021-07,27.0
2021-08,28.0
2021-09,28.0
2021-10,31.0
2021-11,31.0
2021-12,30.0
2022-01,25.0
2022-02,27.0
2022-03,31.0
2022-04,29.0
2022-05,23.0
2022-06,15.0
2022-07,12.0
2022-08,18.0
2022-09,25.0
2022-10,19.0
2022-11,15.0
2022-12,19.0
2023-01,14.0
2023-02,18.0
2023-03,20.0
2023-04,23.0
2023-05,21.0
2023-06,24.0
2023-07,33.0
2023-08,30.0
2023-09,32.0
2023-10,25.0
2023-11,24.0
2023-12,29.0
2024-01,24.0
2024-02,27.0
2024-03,36.0
2024-04,44.0
2024-05,41.0
2024-06,48.0
2024-07,52.0
2024-08,48.0
