Month,Sustainability,Housing,Leisure activities,work–life balance,Health services,Rural development,Education quality,Food security,Climate,Welfare,Health insurance,Life expectancy,Public security,Quality of life,Poverty line,Childcare,Public transportation,Air quality,Employment opportunities,Crime rate,Amenity,Standard of living,Urban development
2012-07,39,69,0,0,0,100,0,0,11,27,0,0,0,0,0,0,0,0,100,0,0,0,0
2012-08,35,72,0,0,0,48,0,0,9,22,38,0,0,0,0,0,0,0,0,0,0,0,65
2012-09,28,68,0,0,50,0,0,0,9,18,33,0,0,0,0,0,0,0,0,0,0,0,53
2012-10,36,73,0,0,67,51,0,0,12,27,0,0,0,100,0,0,0,0,0,0,0,0,74
2012-11,38,67,0,0,56,46,0,0,15,24,0,75,0,0,0,0,0,0,0,0,0,0,79
2012-12,34,57,0,0,0,99,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,52
2013-01,40,73,0,0,67,65,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,65
2013-02,38,69,0,0,52,98,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,87
2013-03,37,66,0,0,64,0,0,75,12,22,0,0,0,0,0,0,0,0,48,0,0,0,76
2013-04,39,67,0,68,46,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,71
2013-05,39,74,0,66,70,64,0,0,11,26,0,0,0,0,0,0,0,0,0,0,0,66,51
2013-06,36,71,0,0,42,48,0,0,13,23,0,0,0,0,0,0,0,0,67,0,0,0,72
2013-07,44,73,0,0,51,42,0,0,12,15,30,0,0,0,0,100,0,0,0,0,0,0,87
2013-08,35,64,0,89,68,59,0,0,10,21,0,0,0,0,0,0,0,0,48,0,0,0,81
2013-09,38,63,0,59,38,68,0,0,9,21,0,0,0,0,0,0,0,0,63,0,0,0,63
2013-10,30,80,0,0,54,56,0,57,10,20,0,0,0,0,0,0,0,0,0,0,0,0,64
2013-11,38,65,0,0,41,50,0,0,9,26,0,61,0,0,0,0,0,0,47,0,0,0,39
2013-12,27,67,0,55,72,57,0,0,12,18,0,71,0,0,0,0,0,0,46,0,0,0,45
2014-01,42,77,0,0,72,76,0,0,12,19,0,0,0,0,0,78,0,0,0,0,0,0,76
2014-02,43,64,0,57,0,34,0,0,11,18,26,65,0,0,0,0,0,0,0,0,0,0,58
2014-03,43,65,0,0,51,34,100,0,9,28,0,0,0,0,0,0,0,0,44,0,0,53,61
2014-04,47,55,0,0,48,32,0,0,9,18,30,0,0,0,0,0,0,0,0,0,0,0,69
2014-05,45,72,0,0,35,64,0,0,12,18,0,0,0,0,0,0,0,0,69,0,0,0,78
2014-06,48,70,0,0,42,66,0,70,12,17,0,0,0,0,0,0,0,0,50,0,0,0,61
2014-07,45,65,0,0,74,45,0,49,9,20,0,58,0,0,0,0,0,0,51,0,0,0,69
2014-08,46,56,0,45,50,60,0,0,11,22,0,46,0,0,0,0,0,0,51,0,76,0,81
2014-09,34,61,0,0,54,46,0,0,11,28,0,0,0,0,0,0,0,0,37,0,0,0,83
2014-10,36,69,0,72,42,53,0,0,9,24,21,0,0,50,0,0,0,0,0,0,61,0,81
2014-11,34,80,0,60,38,62,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,81
2014-12,30,60,0,0,33,44,0,0,11,23,0,61,0,0,0,0,0,0,0,100,0,0,50
2015-01,37,63,0,47,35,44,0,50,8,25,0,0,0,0,0,0,0,0,0,0,0,0,51
2015-02,30,75,0,0,36,42,0,49,8,26,29,0,0,0,0,0,0,0,34,0,0,0,45
2015-03,36,64,0,54,38,40,0,79,10,28,0,49,0,47,0,0,0,3,0,0,0,0,61
2015-04,30,61,0,82,0,0,0,0,9,26,23,56,0,0,0,0,0,0,0,0,0,0,35
2015-05,42,72,0,55,60,33,0,68,12,22,20,0,0,0,0,0,0,0,0,0,0,0,50
2015-06,38,63,78,0,32,41,0,100,13,22,19,0,0,53,0,0,0,0,31,0,0,0,59
2015-07,33,63,0,46,35,28,0,0,8,21,15,38,0,0,0,0,0,0,0,0,0,0,41
2015-08,30,47,0,73,51,24,0,0,10,20,0,0,0,0,0,0,0,2,0,0,0,0,43
2015-09,38,55,0,64,32,0,0,0,9,22,0,0,0,53,0,0,0,0,0,0,0,0,42
2015-10,38,56,0,46,63,35,0,51,10,19,24,0,0,45,0,51,0,0,27,0,0,0,42
2015-11,43,57,0,42,0,47,0,0,13,24,22,38,0,0,0,0,0,0,0,0,0,0,41
2015-12,31,51,0,46,43,56,0,0,14,20,0,0,0,53,0,0,0,0,0,0,0,0,38
2016-01,34,54,0,54,44,38,0,0,10,25,22,0,0,39,0,0,0,0,0,0,0,0,39
2016-02,34,58,0,59,49,31,0,0,10,20,0,46,0,0,0,0,0,0,35,0,0,0,60
2016-03,37,49,0,38,42,29,0,0,11,25,28,39,0,0,0,0,0,0,0,0,0,0,47
2016-04,38,53,73,47,50,29,0,60,11,19,0,0,0,0,0,0,0,0,0,0,0,0,39
2016-05,47,52,88,62,34,50,0,37,15,16,29,39,0,0,0,0,0,0,0,0,0,0,40
2016-06,43,53,0,57,43,56,0,0,9,20,19,55,0,0,0,0,0,0,0,0,0,0,47
2016-07,31,60,0,0,38,45,0,45,8,20,13,0,0,36,0,0,0,0,0,0,0,0,43
2016-08,28,53,0,43,44,38,0,0,8,20,0,45,0,37,0,0,0,0,0,0,50,0,37
2016-09,38,51,0,56,43,66,0,0,9,22,13,39,0,0,0,0,0,2,0,0,0,0,44
2016-10,46,52,0,63,50,65,44,46,14,19,16,31,0,36,0,0,0,0,0,0,0,0,39
2016-11,45,9,68,49,58,34,0,55,12,5,23,45,0,46,0,0,0,2,0,0,98,0,32
2016-12,32,0,54,59,34,24,0,0,10,0,19,41,0,0,0,0,0,2,0,0,41,0,36
2017-01,46,0,0,61,37,30,0,42,11,0,25,33,0,0,0,0,0,0,0,0,0,0,35
2017-02,50,0,58,57,41,56,0,0,10,0,15,55,0,44,0,0,0,2,0,0,0,0,36
2017-03,64,0,64,73,49,20,0,0,12,0,14,40,0,0,0,50,0,0,0,0,47,0,57
2017-04,48,0,76,53,42,39,0,0,11,0,18,53,0,38,0,0,0,0,0,0,0,0,25
