Month,Meat price,Consumer price index,Discount offers,Utility bill,Retail price,Water bill,Import price,Train ticket price,Exchange rate,Bus ticket price,House price,Export price,Cost management,Education price,Gold price,Price comparison,Food prices,Cost of living,Hospital cost,Grocery price,Vegetable price,Electricity price,Market prices,Online shopping,Wholesale price,Inflation rate,Fuel price
2012-07,0,0,0,0,0,0,0,0,73,0,27,0,54,0,12,0,51,35,0,0,0,0,50,3,0,17,6
2012-08,0,0,0,0,0,0,0,0,64,0,24,0,0,0,13,100,0,28,0,0,0,0,85,4,0,17,7
2012-09,0,0,0,0,0,0,0,0,64,0,32,0,49,0,13,0,47,50,0,0,0,0,84,4,0,19,5
2012-10,0,0,0,0,0,0,0,0,64,0,21,0,0,0,13,0,49,40,0,0,0,0,100,4,0,0,0
2012-11,0,78,0,0,0,0,0,0,63,0,30,0,66,0,14,0,36,49,0,0,0,0,59,4,0,15,0
2012-12,0,0,0,0,0,0,0,0,61,0,25,0,97,0,13,83,50,30,0,0,0,0,48,4,0,0,7
2013-01,0,0,0,0,0,0,0,0,65,0,28,0,74,0,12,0,53,34,0,0,0,0,40,3,0,19,5
2013-02,0,69,0,0,0,0,0,0,64,0,28,0,0,0,14,0,0,30,0,0,0,0,73,4,0,21,5
2013-03,0,0,0,0,0,0,0,0,66,0,28,0,64,0,15,0,48,41,0,0,0,0,86,4,0,20,8
2013-04,0,0,0,0,0,0,0,0,58,0,27,0,0,0,45,0,0,63,0,0,0,57,62,4,0,18,8
2013-05,0,0,0,0,0,9,0,0,61,0,21,0,64,0,42,0,46,58,0,0,0,0,63,4,0,18,7
2013-06,0,0,0,0,0,0,0,0,65,0,29,0,55,0,31,0,60,34,0,0,0,0,78,4,0,23,7
2013-07,0,0,0,0,0,0,0,0,69,0,26,0,40,0,37,0,34,41,0,0,0,0,63,4,0,19,6
2013-08,0,49,0,0,0,0,0,0,61,0,25,0,76,0,27,0,60,32,0,0,0,0,92,4,0,21,5
2013-09,0,0,0,0,0,0,100,0,65,0,29,0,60,0,23,0,47,48,0,0,26,0,79,4,0,24,5
2013-10,0,0,0,0,0,0,0,0,63,0,25,0,43,0,18,88,65,33,0,0,0,0,48,5,0,13,0
2013-11,0,48,0,0,0,0,0,0,62,0,30,0,65,0,19,64,43,53,0,0,0,0,62,5,0,16,5
2013-12,0,0,0,0,0,0,0,0,58,0,25,0,58,0,18,54,55,37,0,0,34,0,66,5,0,0,4
2014-01,0,52,0,0,0,0,0,0,53,0,26,0,73,0,18,68,39,41,0,0,0,0,33,5,0,18,5
2014-02,0,52,0,0,0,0,0,0,56,0,21,0,61,0,14,0,40,39,0,0,0,0,27,5,0,20,4
2014-03,0,48,0,0,0,0,0,0,54,0,22,0,100,0,13,64,0,26,0,0,0,0,39,5,27,28,6
